jp,en,kr
接続スキル強化,Linked Skill Upgrade,
[気力解放中]敵視増加量軽減,[During Overzeal] Hate Generation Decrease,
[気力解放発動時]強靭削り強化,[When Activating Overzeal] Boosts Brawn Reduction Dealt,
固有特性[魂砕き],Individual Ability [Soul Crush],
敵からの強靭削り軽減（大）,Protection against Brawn Reduction (Large),
[連撃]会心確率強化,[Chain] Critical Rate Boost,
最大体力増加,Max HP Increase,
特殊技強化,Special Attack Boost,
[気力解放中]会心攻撃強化,[During Overzeal] Critical Attack Boost,
[気力解放中][攻撃]気力回復量強化,[During Overzeal] [Attack] Zeal Recovery Amount Boost,
通常技強化,Normal Attack Boost,
特殊技強化,Special Attack Boost,
固有特性[不撓不屈],Individual Ability [Unyielding],
特殊技派生,Special Technique,
通常技,Normal Attack,
固有特性[千里疾走の構え],Individual Ability [Far Sprinting Stance],
強靭回復速度,Brawn Recovery Speed,
[気力解放中]会心攻撃確率増加,[During Overzeal] Critical Attack Rate Increase,
特殊技強化,Special Attack Boost,
[気力解放発動時][連撃1] 充填時間短縮,[When Activating Overzeal] [連撃1] Charge Time Reduction,
気力解放[基礎],Overzeal [Basic],
[気力解放中]会心攻撃強化,[During Overzeal] Critical Attack Boost,
固有特性[錬技誘導],Individual Ability [Skill Tutor],
[気力解放中]致命攻撃[迎撃]強化,[During Overzeal] Fatal Attack [Counter] Boost,
固有特性[闘士の瞳],Individual Ability [Eye of the Virata],
[気力解放発動時]ダメージ軽減効果付与（範囲）,[When Activating Overzeal] Applies Damage Reduction (AOE),
[空中技]会心確率強化,[Midair Attack] Critical Rate Boost,
致命攻撃[隠密]強化,Fatal Attack [Stealth] Boost,
特殊技強化,Special Attack Boost,
固有特性[水の鼓動],Individual Ability [The Beating Tide],
[空中技]会心攻撃強化,[Midair Attack] Critical Attack Boost,
連撃 甲 [連撃1],Chain A [連撃1],
連撃 丁 [連撃4],Chain D [連撃4],
[気力解放発動時]ランダム連撃充填短縮,[When Activating Overzeal] Recharge Boost for Random Chain,
連撃 丁 [連撃4],Chain D [連撃4],
連撃 丁 [連撃4],Chain D [連撃4],
[気力解放発動時]無敵効果付与,[When Activating Overzeal] Applies Invulnerability,
特殊技強化,Special Attack Boost,
固有特性[流水の癒やし],Individual Ability [Soothing Stream],
回避,Dodge,
連撃 丁 [連撃4],Chain D [連撃4],
ダメージ軽減（大）,Damage Reduction (Large),
連撃 丁 [連撃4],Chain D [連撃4],
会心攻撃強化・確率増加,Critical Attack Boost/Rate Increase,
攻撃力増加,ATK Increase,
連撃 丁 [連撃4],Chain D [連撃4],
連撃3,Chain 3,
固有特性[起死回生],Individual Ability [Back from the Brink],
特殊技強化,Special Attack Boost,
連撃 丁 [連撃4],Chain D [連撃4],
連撃 丁 [連撃4],Chain D [連撃4],
連撃 丁 [連撃4],Chain D [連撃4],
能力増加,Stat Increase,
[通常技]ダメージ強化,[Normal Attack] Damage Boost,
見切り回避受付時間増加,Predictive Dodge Window Increase,
[連撃2] 充填時間短縮,[連撃2] Charge Time Reduction,
敵視減少量,Hate Reduction,
固有特性[失地回勢],Individual Ability [Momentum Rally],
[体力]固定ダメージ変換,[HP] Fixed Damage Conversion,
[気力解放発動時]追尾[竜巻],[When Activating Overzeal] Homing [Tornado],
[気力解放中][攻撃ヒット時]体力回復,[During Overzeal] [When Hit Lands] HP Recovery,
通常技4,Normal Attack 4,
固有特性[地の利],Individual Ability [Terrain Advantage],
[派生技中]敵からの強靭削り軽減,[During Technique] Protection against Brawn Reduction,
[気力解放中]気力回復量強化,[During Overzeal] Zeal Recovery Amount Boost,
強靭削り強化,Brawn Reduction Dealt Boost,
連撃 丙 [連撃3],Chain C [連撃3],
連撃 丙 [連撃3],Chain C [連撃3],
[移動中]ダメージ軽減,[While Moving] Damage Reduction,
連撃 丙 [連撃3],Chain C [連撃3],
[気力解放中]ダメージ0,[During Overzeal] Nullifies Damage,
[気力解放発動時]気力自動回復効果付与（範囲）,[When Activating Overzeal] Apply Zeal Auto-Recovery (AOE),
固有特性[万能抵抗],Individual Ability [Total Resistance],
通常技最終段,Normal Attack Final Hit,
[気力解放中]効果時間延長,[During Overzeal] Effect Time Extension,
[強靭破壊状態中]強靭回復速度,[Brawn Broken] Brawn Recovery Speed,
連撃 丙 [連撃3],Chain C [連撃3],
[特殊技]強靭削り強化,[Special Attack] Brawn Reduction Dealt Boost,
[空中技]気力回復量強化,[Midair Attack] Zeal Recovery Amount Boost,
[気力解放中][連撃2] 充填時間短縮,[During Overzeal] [連撃2] Charge Time Reduction,
連撃 丙 [連撃3],Chain C [連撃3],
キリポン,Kiripon,
固有特性[戦術指揮],Individual Ability [Strategy Supervision],
敵視減少量減少,Hate Decay Decrease,
[気力解放発動時]範囲攻撃[火],[When Activating Overzeal] AOE Attack [Fire],
固有特性[獣狩り],Individual Ability [Beast Hunting],
通常技10,Normal Attack 10,
特殊技強化,Special Attack Boost,
ダメージ軽減,Damage Reduction,
体力自動回復,HP Auto Recovery,
気力解放時間（気力回復量減少）,When in Overzeal (Zeal Recovery Amount Reduction),
連撃 丙 [連撃3],Chain C [連撃3],
連撃 丙 [連撃3],Chain C [連撃3],
[派生技中]ダメージ軽減,[During Technique] Damage Reduction,
連撃 丙 [連撃3],Chain C [連撃3],
連撃 丙 [連撃3],Chain C [連撃3],
[連撃中]敵からの強靭削り軽減,[During Chain] Protection against Brawn Reduction,
連撃 丙 [連撃3],Chain C [連撃3],
敵からの強靭削り軽減,Protection against Brawn Reduction,
連撃 丙 [連撃3],Chain C [連撃3],
連撃 丙 [連撃3],Chain C [連撃3],
固有特性[原初の理],Individual Ability [Primal Law],
連撃 丙 [連撃3],Chain C [連撃3],
[通常技中]敵からの強靭削り軽減,[During Normal Attack] Protection against Brawn Reduction,
連撃 甲 [連撃1],Chain A [連撃1],
[気力解放中]敵からのダメージ/強靭削り軽減,[During Overzeal] Protection against Damage & Brawn Reduction,
[気力解放発動時]追尾[レーザー],[When Activating Overzeal] Homing [Laser],
固有特性[疾風迅雷],Individual Ability [Swift as Lightning],
ダメージ,Damage,
[気力解放中][攻撃]体力吸収付与,[During Overzeal] [Attack] Applies HP Drain,
連撃 甲 [連撃1],Chain A [連撃1],
連撃 甲 [連撃1],Chain A [連撃1],
[気力解放発動時]設置[雷],[When Activating Overzeal] Trap [Lightning],
[気力解放発動時]強靭削り強化効果付与（範囲）,[When Activating Overzeal] Applies Boost to Brawn reduction dealt (AOE),
通常技2,Normal Attack 2,
固有特性[土角結界],Individual Ability [Earthen Horn Barrier],
[移動中]敵からの強靭削り軽減,[While Moving] Protection against Brawn Reduction,
気力自動回復,Zeal Auto-Recovery,
[特殊技]会心攻撃強化,[Special Attack] Critical Attack Boost,
[気力解放中]敵からの強靭削り軽減,[During Overzeal] Protection against Brawn Reduction,
[士気力]固定ダメージ変換,[Spirit] Fixed Damage Conversion,
反射ダメージ,Reflect Damage,
[連撃4] 充填時間短縮,[連撃4] Charge Time Reduction,
攻撃力増加[弐],ATK Increase [2],
通常技6,Normal Attack 6,
[敵撃破・敵強靭破壊時]体力回復,[Enemy Defeated/Brawn Broken] HP Recovery,
連撃 甲 [連撃1],Chain A [連撃1],
[気力解放発動時]範囲攻撃[闇],[When Activating Overzeal] AOE Attack [Dark],
連撃 甲 [連撃1],Chain A [連撃1],
連撃 甲 [連撃1],Chain A [連撃1],
[攻撃中]敵からの強靭削り軽減,[During Attack] Protection against Brawn Reduction,
連撃 甲 [連撃1],Chain A [連撃1],
連撃 甲 [連撃1],Chain A [連撃1],
連撃 甲 [連撃1],Chain A [連撃1],
[連撃]強靭削り強化,[Chain] Brawn Reduction Dealt Boost,
連撃 甲 [連撃1],Chain A [連撃1],
連撃 甲 [連撃1],Chain A [連撃1],
[気力解放発動時]追尾[雷],[When Activating Overzeal] Homing [Lightning],
固有特性[闇討ち],Individual Ability [Strike from the Shadows],
通常技8,Normal Attack 8,
特殊技強化,Special Attack Boost,
[強靭状態中]ダメージ軽減,[Brawny] Damage Reduction,
[空中技]強靭削り強化,[Midair Attack] Brawn Reduction Dealt Boost,
[通常技中]ダメージ軽減,[During Normal Attack] Damage Reduction,
連撃 甲 [連撃1],Chain A [連撃1],
[空中技]ダメージ強化,[Midair Attack] Damage Boost,
[特殊技]気力回復量強化,[Special Attack] Zeal Recovery Amount Boost,
[気力解放中][連撃4] 充填時間短縮,[During Overzeal] [連撃4] Charge Time Reduction,
連撃 甲 [連撃1],Chain A [連撃1],
必殺奥義,Final Strike,
固有特性[威嚇],Individual Ability [Intimidate],
[気力解放中]致命攻撃[背面・弱点]強化,[During Overzeal] Fatal Attack [Rear/Weak Point] Boost,
[連撃]会心攻撃強化,[Chain] Critical Attack Boost,
空中技,Midair Attack,
[気力解放発動時][連撃3] 充填時間短縮,[When Activating Overzeal] [連撃3] Charge Time Reduction,
[気力解放中]敵視増加量強化,[During Overzeal] Hate Generation Increase,
選択中の連撃,Selected Chain,
固有特性[窮死覚醒],Individual Ability [Dire Awakening],
特殊技強化,Special Attack Boost,
接続スキル強化上限,Linked Skill Upgrade Limit,
特殊技強化,Special Attack Boost,
固有特性[式鬼信託],Individual Ability [Shikigami Companion],
特殊技,Special Attack,
連撃 乙 [連撃2],Chain B [連撃2],
連撃 乙 [連撃2],Chain B [連撃2],
回復力増加,Healing Increase,
連撃 乙 [連撃2],Chain B [連撃2],
連撃1,Chain 1,
連撃 乙 [連撃2],Chain B [連撃2],
固有特性[感謝の心],Individual Ability [Grateful Spirit],
特殊技強化,Special Attack Boost,
連撃 乙 [連撃2],Chain B [連撃2],
特殊技強化,Special Attack Boost,
固有特性[士気向上],Individual Ability [Morale Boost],
攻撃全て,All Attacks,
連撃 乙 [連撃2],Chain B [連撃2],
会心確率強化,Critical Rate Boost,
連撃 乙 [連撃2],Chain B [連撃2],
連撃 乙 [連撃2],Chain B [連撃2],
連撃 丙 [連撃3],Chain C [連撃3],
[気力解放発動時]気力回復（範囲）,[When Activating Overzeal] Zeal Recovery (AOE),
[特殊技]会心確率強化,[Special Attack] Critical Rate Boost,
ダメージ強化（大）,Damage Boost (Large),
当身技,Counter Attack,
連撃 乙 [連撃2],Chain B [連撃2],
[気力解放中]ダメージ強化,[During Overzeal] Damage Boost,
連撃 丙 [連撃3],Chain C [連撃3],
連撃 丙 [連撃3],Chain C [連撃3],
連撃 丙 [連撃3],Chain C [連撃3],
致命攻撃[迎撃]強化,Fatal Attack [Counter] Boost,
連撃 丙 [連撃3],Chain C [連撃3],
特殊技強化,Special Attack Boost,
固有特性[仁義の門],Individual Ability [Code of Honor],
連撃4,Chain 4,
連撃,Chains,
連撃 丙 [連撃3],Chain C [連撃3],
固有特性[侵蝕の壊流],Individual Ability [Eroding Current],
特殊技強化,Special Attack Boost,
士気力増加,Spirit Increase,
連撃 丙 [連撃3],Chain C [連撃3],
連撃 丙 [連撃3],Chain C [連撃3],
連撃 丙 [連撃3],Chain C [連撃3],
連撃 丙 [連撃3],Chain C [連撃3],
[気力解放中]連撃充填時間回復速度強化,[During Overzeal] Chain Recharge-Time Recovery Speed Boost,
移動,Move,
[気力解放中]強靭回復速度,[During Overzeal] Brawn Recovery Speed,
[通常技]会心確率強化,[Normal Attack] Critical Rate Boost,
[気力解放発動時]体力回復（範囲）,[When Activating Overzeal] HP Recovery (AOE),
連撃 乙 [連撃2],Chain B [連撃2],
回復連撃回復量強化,Heal Chain Recovery Amount Boost,
[気力解放発動時][連撃2] 充填時間短縮,[When Activating Overzeal] [連撃2] Charge Time Reduction,
地上攻撃,Ground Attack,
[気力解放中]会心確率強化,[During Overzeal] Critical Rate Boost,
[気力解放中]致命攻撃[隠密]強化,[During Overzeal] Fatal Attack [Stealth] Boost,
特殊技強化,Special Attack Boost,
固有特性[自然治癒],Individual Ability [Natural Healing],
派生技,Technique,
装備コスト上限,Equip Cost Limit,
充填中の連撃からランダム1つ,1 Random Charged Chain,
固有特性[影走り],Individual Ability [Shadow Run],
特殊技強化,Special Attack Boost,
連撃 丁 [連撃4],Chain D [連撃4],
連撃 丁 [連撃4],Chain D [連撃4],
連撃 丁 [連撃4],Chain D [連撃4],
[連撃]ダメージ強化,[Chain] Damage Boost,
連撃 丁 [連撃4],Chain D [連撃4],
連撃 丁 [連撃4],Chain D [連撃4],
連撃 丁 [連撃4],Chain D [連撃4],
[攻撃中]ダメージ軽減,[During Attack] Damage Reduction,
[気力解放発動時]範囲攻撃[雷],[When Activating Overzeal] AOE Attack [Lightning],
連撃 丁 [連撃4],Chain D [連撃4],
連撃 丁 [連撃4],Chain D [連撃4],
[攻撃]体力吸収付与,[Attack] Apply HP Drain,
[通常技]気力回復量強化,[Normal Attack] Zeal Recovery Amount Boost,
気力回復量強化（気力解放時間減少）,Zeal Recovery Amount Boost (Overzeal Time Reduction),
気力解放,Overzeal,
固有特性[天地共鳴],Individual Ability [Resonance of Heaven and Earth],
[特殊技中]ダメージ軽減,[During Special Attack] Damage Reduction,
[派生技]ダメージ強化,[Technique] Damage Boost,
連撃 丁 [連撃4],Chain D [連撃4],
[強靭状態中]強靭回復速度,[Brawny] Brawn Recovery Speed,
[派生技]強靭削り強化,[Technique] Brawn Reduction Dealt Boost,
[気力解放発動時]追尾[火],[When Activating Overzeal] Homing [Fire],
固有特性[戦陣昂揚],Individual Ability [Battlefield Fervor],
通常技7,Normal Attack 7,
連撃 丁 [連撃4],Chain D [連撃4],
[気力解放中][連撃1] 充填時間短縮,[During Overzeal] [連撃1] Charge Time Reduction,
[回避中]敵からの強靭削り軽減,[While Dodging] Protection against Brawn Reduction,
[攻撃ヒット時]体力回復,[When Hit Lands] HP Recovery,
連撃 丁 [連撃4],Chain D [連撃4],
[気力解放発動時]設置[火],[When Activating Overzeal] Trap [Fire],
[気力解放発動時]敵からの強靭削り軽減効果付与（範囲）,[When Activating Overzeal] Applies Protection against Brawn Reduction (AOE),
通常技1,Normal Attack 1,
固有特性[不退の念],Individual Ability [Unyielding Will],
連撃 丁 [連撃4],Chain D [連撃4],
連撃 丁 [連撃4],Chain D [連撃4],
[気力解放発動時]設置型[レーザー],[When Activating Overzeal] Trap [Laser],
固有特性[縁切り],Individual Ability [Sever Ties],
ジャンプ,Jump,
[気力解放中][敵撃破・敵強靭破壊時]体力回復,[During Overzeal] [Enemy Defeated/Brawn Broken] HP Recovery,
[特殊技中]敵からの強靭削り軽減,[During Special Attack] Protection against Brawn Reduction,
[気力解放中]無敵,[During Overzeal] Invulnerability,
通常技5,Normal Attack 5,
士気力増加[弐],Spirit Increase [2],
[連撃3] 充填時間短縮,[連撃3] Charge Time Reduction,
士気増加量強化,Spirit Increase Amount Boost,
[気力解放中]敵からの強靭削り0,[During Overzeal] Nullifies Brawn Reduction Received,
[防御力]固定ダメージ変換,[DEF] Fixed Damage Conversion,
[通常技]会心攻撃強化,[Normal Attack] Critical Attack Boost,
adamant faith (Piano Collection),adamant faith (Piano Collection),
君だけの旅路・劇伴,A Journey for You Alone - Instrumental,
bgm_nw0170,bgm_nw0170,
作曲：松岡純也　編曲：松岡純也,"Composition: Junya Matsuoka, Arrangement: Junya Matsuoka",
作曲：松岡純也　編曲：松岡純也,"Composition: Junya Matsuoka, Arrangement: Junya Matsuoka",
我武者羅-ガムシャラ-,Daredevil,
双星－フタツボシ－,Futatsu Boshi (Twin stars),
采配をふるう者,The One Who Wields the Baton,
天命輪舞,Rondo of Fate,
作曲：衣笠道雄　編曲：松浦基悦,"Composition: Michio Kinugasa, Arrangement: Motoyoshi Matsuura",
花ごよみ,Floral Almanac,
永久に (Piano Collection),Forever (Piano Collection),
土豪烈神,Fierce Land God,
作曲：下川直哉　編曲：千葉岳洋,"Composition: Naoya Shimokawa, Arrangement: Takehiro Chiba",
好敵手に告ぐ,Worthiest of Foes,
作曲：石川真也　編曲：衣笠道雄,"Composition: Shinya Ishikawa, Arrangement: Michio Kinugasa",
覇道をゆくもの,He Who Conquers,
傾奇者-カブキモノ-,Kabukimono (Eccentric),
作曲：松岡純也　編曲：衣笠道雄,"Composition: Junya Matsuoka, Arrangement: Michio Kinugasa",
宿願の果て,The End of a Long-Held Wish,
殿上人,The Noble Ones,
君だけの旅路 (Piano Collection),A Journey for You Alone (Piano Collection),
"作詞：須谷尚子　作曲：衣笠道雄
編曲：衣笠道雄　歌：Suara","Lyrics: Naoko Sutani, Composition: Michio Kinugasa
Arrangement: Michio Kinugasa, Vocals: Suara",
常世の旋律,Melody of the Eternal World,
理燃-コトワリ-　Nostalgic Ver.,Kotowari (Truth) - Nostalgic Version,
月光花-フミルィル-,Moonlit Flowers - Fumirul,
作曲：松岡純也　編曲：松岡純也,"Composition: Junya Matsuoka, Arrangement: Junya Matsuoka",
うたわれるもの,Utawarerumono,
作曲：松岡純也　編曲：松岡純也,"Composition: Junya Matsuoka, Arrangement: Junya Matsuoka",
日だまりの中で（うたわれるもの学園 ver）,In the Sunshine (Utawarerumono Academy ver.),
作曲：下川直哉　編曲：衣笠道雄,"Composition: Naoya Shimokawa, Arrangement: Michio Kinugasa",
作曲：松岡純也　編曲：松岡純也,"Composition: Junya Matsuoka, Arrangement: Junya Matsuoka",
天かける星,Soaring Star,
作曲：松岡純也　編曲：衣笠道雄,"Composition: Junya Matsuoka, Arrangement: Michio Kinugasa",
作曲：松岡純也　編曲：松岡純也,"Composition: Junya Matsuoka, Arrangement: Junya Matsuoka",
"作詞：須谷尚子　作曲：石川真也
編曲：石川真也・衣笠道雄　歌：Suara","Lyrics: Naoko Sutani, Composition: Shinya Ishikawa
Arrangement: Shinya Ishikawa & Michio Kinugasa, Vocals: Suara",
天下争乱,World in Conflict,
覇道の行方,Martial Law,
これからくる未来,The Future Yet to Come,
作曲：石川真也　編曲：石川真也,"Composition: Shinya Ishikawa, Arrangement: Shinya Ishikawa",
天晴野郎,A Fine Fellow,
bgm_nw0000,bgm_nw0000,
晴れ晴れ天晴れ！,Clear Skies Ahead!,
作曲：石川真也　編曲：石川真也,"Composition: Shinya Ishikawa, Arrangement: Shinya Ishikawa",
作曲：衣笠道雄　編曲：衣笠道雄,"Composition: Michio Kinugasa, Arrangement: Michio Kinugasa",
遊楽,Playful Notes,
麗しき世界,Beautiful World,
作曲：松岡純也　編曲：松岡純也,"Composition: Junya Matsuoka, Arrangement: Junya Matsuoka",
夢のつづき,Continuation of a Dream,
大いなる災い,Great Calamity,
sys002010,sys002010,
作曲：石川真也　編曲：衣笠道雄,"Composition: Shinya Ishikawa, Arrangement: Michio Kinugasa",
風に消えた言葉,Words Gone with the Wind,
長閑な箱庭,Tranquil Miniature Garden,
作曲：衣笠道雄　編曲：千葉岳洋,"Composition: Michio Kinugasa, Arrangement: Takehiro Chiba",
時には獣のように,Sometimes Like a Beast,
作曲：松岡純也　編曲：松岡純也,"Composition: Junya Matsuoka, Arrangement: Junya Matsuoka",
二人の白皇,Mask of Truth,
武人道-モノノフノミチ-,Way of the Mononofu,
Chance It! Instrumental,Chance It! Instrumental,
神結－カミ・ユウ－,Kami Yuu (Divine Bond),
作曲：松岡純也　編曲：松岡純也,"Composition: Junya Matsuoka, Arrangement: Junya Matsuoka",
血風録,History of Bloodshed,
永劫の定め,Eternal Fate,
bgm_nw0170,bgm_nw0170,
凍土の果て,At the Edge of Frozen Land,
作曲：松岡純也　編曲：扇谷研人,"Composition: Junya Matsuoka, Arrangement: Kento Ohgiya",
作曲：石川真也　編曲：松岡純也,"Composition: Shinya Ishikawa, Arrangement: Junya Matsuoka",
失われた楽土,The Lost Paradise,
闘志燃やして,Ignite Your Fighting Spirit,
作曲：松岡純也　編曲：松岡純也,"Composition: Junya Matsuoka, Arrangement: Junya Matsuoka",
桜花浪漫,Cherry Blossom Romance,
相酌 (Piano Collection),A Toast to Us (Piano Collection),
子守歌－ユカウラ－,Yukaura (Lullaby),
"作詞：牛島弥美　作曲：豆田将
編曲：豆田将　歌：元田恵美","Lyrics: Masumi Ushijima, Composition: Susumu Mameda
Arrangement: Susumu Mameda, Vocals: Emi Motoda",
作曲：松岡純也　編曲：松岡純也,"Composition: Junya Matsuoka, Arrangement: Junya Matsuoka",
キミガタメ,Kimi ga tame (For You),
I'm a beast,I'm a beast,
旅は道づれ,Companionship,
作曲：松岡純也　編曲：松岡純也,"Composition: Junya Matsuoka, Arrangement: Junya Matsuoka",
天啓の地,Land of Revelation,
荒ぶる者,The Wild One,
"作詞：須谷尚子　作曲：下川直哉
編曲：小林俊太郎　歌：Suara","Lyrics: Naoko Sutani, Composition: Naoya Shimokawa
Arrangement: Shuntaro Kobayashi, Vocals: Suara",
作曲：衣笠道雄　編曲：衣笠道雄,"Composition: Michio Kinugasa, Arrangement: Michio Kinugasa",
蒼き旋風,Azure Cyclone,
作曲：松岡純也　編曲：衣笠道雄,"Composition: Junya Matsuoka, Arrangement: Michio Kinugasa",
作曲：衣笠道雄　編曲：衣笠道雄,"Composition: Michio Kinugasa, Arrangement: Michio Kinugasa",
作曲：衣笠道雄　編曲：衣笠道雄,"Composition: Michio Kinugasa, Arrangement: Michio Kinugasa",
天かける星 (Piano Collection),Soaring Star (Piano Collection),
作曲：松岡純也　編曲：松岡純也,"Composition: Junya Matsuoka, Arrangement: Junya Matsuoka",
作曲：松岡純也　編曲：松岡純也,"Composition: Junya Matsuoka, Arrangement: Junya Matsuoka",
作曲：松岡純也　編曲：衣笠道雄,"Composition: Junya Matsuoka, Arrangement: Michio Kinugasa",
相酌,A Toast to Us,
薄氷の勝利,Victory on Thin Ice,
鉦を鳴らせ,Sound the Alarm,
蠢く闇・禍,Darkness Falls - Evil,
夕星（ゆうづつ）,Yuzutsu (Evening Star),
神話の終りに,At the End of the Myth,
"作詞：須谷尚子　作曲：松岡純也
編曲：松岡純也　歌：Suara","Composition: Naoko Sutani, Composition: Junya Matsuoka
Arrangement: Junya Matsuoka, Vocals: Suara",
作曲：衣笠道雄　編曲：衣笠道雄,"Composition: Michio Kinugasa, Arrangement: Michio Kinugasa",
泰平の世,Simple Peace,
作曲：松岡純也　編曲：松岡純也,"Composition: Junya Matsuoka, Arrangement: Junya Matsuoka",
不安定な神様 (Piano Collection),Fuantei na Kamisama (Unstable God) (Piano Collection),
作曲：衣笠道雄　編曲：衣笠道雄,"Composition: Michio Kinugasa, Arrangement: Michio Kinugasa",
作曲：衣笠道雄　編曲：衣笠道雄,"Composition: Michio Kinugasa, Arrangement: Michio Kinugasa",
"作詞：牛島弥美　作曲：豆田将
編曲：衣笠道雄　歌：クオン（CV：種田梨沙）","Lyrics: Masumi Ushijima, Composition: Susumu Mameda
Arrangement: Michio Kinugasa, Vocals: Kuon (Voiced by Risa Taneda)",
作曲：石川真也　編曲：石川真也,"Composition: Shinya Ishikawa, Arrangement: Shinya Ishikawa",
闇の咆哮,Roar of Darkness,
なにげない日々,Ordinary Days,
作曲：衣笠道雄　編曲：衣笠道雄,"Composition: Michio Kinugasa, Arrangement: Michio Kinugasa",
ヌエドリ (Piano Collection),Nuedori (White's Thrush) (Piano Collection),
作曲：石川真也　編曲：石川真也,"Composition: Shinya Ishikawa, Arrangement: Shinya Ishikawa",
キミガタメ,Kimi ga tame (For You),
睦語,Words of Intimacy,
作曲：衣笠道雄　編曲：松岡純也,"Composition: Michio Kinugasa, Arrangement: Junya Matsuoka",
戦鼓-イクサマヌイ-,War Drums (Ikusamanui),
作曲：松岡純也　編曲：衣笠道雄,"Composition: Junya Matsuoka, Arrangement: Michio Kinugasa",
夢想歌 (Piano Collection),Dreamsong (Piano Collection),
作曲：松岡純也　編曲：松岡純也,"Composition: Junya Matsuoka, Arrangement: Junya Matsuoka",
作曲：衣笠道雄　編曲：松浦基悦,"Composition: Michio Kinugasa, Arrangement: Motoyoshi Matsuura",
作曲：衣笠道雄　編曲：衣笠道雄,"Composition: Michio Kinugasa, Arrangement: Michio Kinugasa",
天喜楽,Tenkiraku,
作曲：松岡純也　編曲：松岡純也,"Composition: Junya Matsuoka, Arrangement: Junya Matsuoka",
ユメカウツツカ (Piano Collection),Dream or Reality (Piano Collection),
仮面の者－アクルトゥルカ－,Akuruturuka,
回復祈願,Prayer for Recovery,
作曲：松岡純也　編曲：松岡純也,"Composition: Junya Matsuoka, Arrangement: Junya Matsuoka",
作曲：衣笠道雄　編曲：衣笠道雄,"Composition: Michio Kinugasa, Arrangement: Michio Kinugasa",
解放者-ウィツァルネミテア-,Uitsualnemetia,
神の黄昏,Twilight of the Gods,
宿命の決戦,Fateful Showdown,
作曲：松岡純也　編曲：扇谷研人,"Composition: Junya Matsuoka, Arrangement: Kento Ohgiya",
烈火の如く,Like Crimson Flames,
作曲：松岡純也　編曲：石川真也,"Composition: Junya Matsuoka, Arrangement: Shinya Ishikawa",
作曲：衣笠道雄　編曲：衣笠道雄,"Composition: Michio Kinugasa, Arrangement: Michio Kinugasa",
哀吟・想,Elegiac Heart Poem - Reflection,
狂王の宴,Mad King's Banquet,
作曲：石川真也　編曲：石川真也,"Composition: Shinya Ishikawa, Arrangement: Shinya Ishikawa",
作曲：松岡純也　編曲：衣笠道雄,"Composition: Junya Matsuoka, Arrangement: Michio Kinugasa",
作曲：松岡純也　編曲：松岡純也,"Composition: Junya Matsuoka, Arrangement: Junya Matsuoka",
作曲：松岡純也　編曲：松岡純也,"Composition: Junya Matsuoka, Arrangement: Junya Matsuoka",
夕凪,An Evening Calm,
作曲：下川直哉　編曲：衣笠道雄,"Composition: Naoya Shimokawa, Arrangement: Michio Kinugasa",
子守唄・双星 (Piano Collection),Futatsu Boshi (Yukaura) (Piano Collection),
作曲：石川真也　編曲：石川真也,"Composition: Shinya Ishikawa, Arrangement: Shinya Ishikawa",
"作詞：須谷尚子　作曲：衣笠道雄
編曲：衣笠道雄　歌：Suara","Lyrics: Naoko Sutani, Composition: Michio Kinugasa
Arrangement: Michio Kinugasa, Vocals: Suara",
荒ぶる者,The Wild One,
作曲：松岡純也　編曲：衣笠道雄,"Composition: Junya Matsuoka, Arrangement: Michio Kinugasa",
武略,Military Strategy,
落日の時,Sunset,
作曲：衣笠道雄　編曲：石川真也,"Composition: Michio Kinugasa, Arrangement: Shinya Ishikawa",
星灯,Star Lamp,
作曲：松岡純也　編曲：松岡純也,"Composition: Junya Matsuoka, Arrangement: Junya Matsuoka",
落日の時 (Piano Collection),Sunset (Piano Collection),
作曲：石川真也　編曲：石川真也,"Composition: Shinya Ishikawa, Arrangement: Shinya Ishikawa",
"作詞：須谷尚子　作曲：松岡純也
編曲：松岡純也　歌：Suara","Composition: Naoko Sutani, Composition: Junya Matsuoka
Arrangement: Junya Matsuoka, Vocals: Suara",
作曲：衣笠道雄　編曲：衣笠道雄,"Composition: Michio Kinugasa, Arrangement: Michio Kinugasa",
囃子,Festival Music,
君に幸あれ,Blessings Unto You,
作曲：松岡純也　編曲：松岡純也,"Composition: Junya Matsuoka, Arrangement: Junya Matsuoka",
死は舞い降りた,Death Hath Descended,
作曲：石川真也　編曲：石川真也,"Composition: Shinya Ishikawa, Arrangement: Shinya Ishikawa",
作曲：松岡純也　編曲：松岡純也,"Composition: Junya Matsuoka, Arrangement: Junya Matsuoka",
作曲：松岡純也　編曲：松岡純也,"Composition: Junya Matsuoka, Arrangement: Junya Matsuoka",
蠢く闇・祟,Darkness Falls - Curse,
戦嵐,War storm,
作曲：松岡純也　編曲：石川真也,"Composition: Junya Matsuoka, Arrangement: Shinya Ishikawa",
勝利をこの手に,Victory is Mine,
作曲：松岡純也　編曲：松浦基悦,"Composition: Junya Matsuoka, Arrangement: Motoyoshi Matsuura",
作曲：松岡純也　編曲：松岡純也,"Composition: Junya Matsuoka, Arrangement: Junya Matsuoka",
大封印-オン・リィヤーク-,Ohn Riyaak,
伝承,The Legend,
花鳥風月,Nature's Artistry,
買い物日和,Perfect Day for Shopping,
